Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
5.888072500000009,1000,,,,0,0.0470703125,-0.9947265625,-0.005519706741044227,0.004538640627751937,16.06505289292665,-0.0021437477065892273,0,0,0.03313479150088035,0,0,0,0,0.05859375,,
6.138208500000025,1000,,,,0,0.0470703125,-0.99375,-0.005390513570509461,0.0040186605331749125,16.065026138114483,-0.00007190945390189718,0,0,0.010359956122252512,0,0,0,0,0.05859375,,
6.388498000000004,1000,,,,0,0.0466796875,-0.994140625,-0.005337729638610749,0.003548749372423197,16.06534981378165,-0.00025150438872305613,0,0,0.006994507485915071,0,0,0,0,0.05859375,,
6.640974500000006,1000,,,,0,0.0466796875,-0.994140625,-0.005425069715564171,0.003753534467254395,16.06524510106759,-0.0020140485579044575,0,0,0.03197536199575533,0,0,0,0,0.05859375,,
6.890065500000003,1000,,,,0,0.0470703125,-0.994921875,-0.005490676479981397,0.0034466323526664276,16.065077889307936,-0.0020434461498620936,0,0,0.032828123762149136,0,0,0,0,0.05859375,,
7.1625805,1000,,,,0,0.046875,-0.99375,-0.005516295975644755,0.00349543435374683,16.06519387965567,-0.00249486218308097,0,0,0.04008049612182031,0,0,0,0,0.05859375,,
7.413131500000013,1000,,,,0,0.047265625,-0.9947265625,-0.005503953918415132,0.0035078681795539983,16.065770925775446,-0.002144974818543988,0,0,0.03446078255608892,0,0,0,0,0.05859375,,
7.662634000000002,1000,,,,0,0.046875,-0.9943359375,-0.005342459560251751,0.0026882362370578643,16.065605958008014,-0.0030414485646562905,0,0,0.04886266192785943,0,0,0,0,0.05859375,,
7.912850000000006,1000,,,,0,0.046484375,-0.9939453125,-0.005305470833085567,0.0035361416534662017,16.06539296560262,-0.0027518026396342156,0,0,0.04420874514420864,0,0,0,0,0.05859375,,
8.165506000000004,1000,,,,0,0.046875,-0.9935546875,-0.005375128875297455,0.00369373035459722,16.06516942431789,-0.0038470680605171116,0,0,0.0618038292473357,0,0,0,0,0.05859375,,
8.459985000000009,1000,,,,0,0.047265625,-0.9943359375,-0.005610228861902641,0.0032914378782382585,16.06514224816187,-0.003678169021738631,0,0,0.05909029044012173,0,0,0,0,0.05859375,,
8.712861500000011,1260,,,,0,0.0466796875,-0.9943359375,-0.005599691549528517,0.0034682877558583416,16.06535473110501,-0.0031286338837077654,0,0,0.05026261531907903,0,0,0,0,0.05859375,,
